;show_date;Artist;Title;Album;Year
0;Dec 25. 2022;Husker Du;Sorry Somehow;Sorry Somehow;2008
0;Dec 25. 2022;Ultra Orange & Emmanuelle;Don't Kiss Me Goodbye;Ultra Orange & Emmanuelle;2007
0;Dec 25. 2022;Parquet Courts;Freebird II;Freebird II;2018
0;Dec 25. 2022;Sonic Youth;I'm Not There;I'm Not There (Music From The Motion Picture);2007
0;Dec 25. 2022;TEEN;Better;Better;2012
0;Dec 25. 2022;Strapping Fieldhands;The Author In Her Ear;Wattle & Daub;1996
0;Dec 25. 2022;Daniel Johnston;Mean Girls Give Pleasure;Space Ducks: Soundtrack;2012
0;Dec 25. 2022;Bob Mould;Voices in My Head;Voices in My Head;2016
0;Dec 25. 2022;Super Furry Animals;Something 4 the Weekend;Zoom! The Best Of (1995-2016);2016
0;Dec 25. 2022;Courtney Barnett;Write a List of Things to Look Forward To;Things Take Time. Take Time;2021
