Artist;Title;Album;Year
Judas Priest;Running Wild;Unleashed In The East;1979
Pantera;A New Level;Vulgar Display Of Power;1992
Arch Enemy;Burning Angel;Wages of Sin;2002
Pantera;Fucking Hostile (Biomechanical mix);Walk (EP);1993
Manowar;The Fight For Freedom;Warriors of the World;2002
Eddie Antonini;Save Us;When Water Became Ice;1998
Faith No More;Introduce Yourself;Who Cares A Lot? The Greatest Hits [Disc 1];1998
Faith No More;Hippie Jam Song;Who Cares A Lot? The Greatest Hits [Disc 2];1998
Corrosion Of Conformity;Consumed;Animosity;2006
David Shankle Group;The Widowâ€™s Grief;Ashes to Ashes;2003
Avantasia;The Final Sacrifice;Avantasia;2000
Iron Maiden;Man On The Edge;Best Of The Beast;1996
Iron Maiden;2 Minutes To Midnight;Best Of The Beast;1996
S.O.D.;Kill The Assholes;Bigger Than The Devil;2000
Black Sabbath;Wasp / Behind The Wall Of Sleep / Bassically / N.I.B.;Black Sabbath;1970
Black Sabbath;Changes;Black Sabbath, Vol.4;1972
Judas Priest;Breaking The Law;British Steel;1980
Judas Priest;Breaking The Law;British Steel [The Re-Masters];1980
Arch Enemy;Pilgrim;Burning Bridges;2001
Megadeth;Crush 'Em;Capitol Punishment: The Megadeth Years;2000
Alestorm;The Huntmaster;Captain Morgan's Revenge;2008
Pantera;Psycho Holiday;Cowboys From Hell;1990
Cycle Sluts from Hell;Queen High Love;Cycle Sluts from Hell;1991
Judas Priest;Rock Hard Ride Free;Defenders Of The Faith;1984
Judas Priest;Rock Hard Ride Free;Defenders Of The Faith [Remastered];1984
Moi dix Mois;front et baiser;Dix infernal;2003
Mercyful Fate;Desecration Of Souls;Don't Break The Oath;1984
Pilgrim Fetus;Piece By Piece Replacement;Drum Machine Madness;2003
Bulldoze;Bulldoze;The Final Beatdown;1998
Yngwie Malmsteen;Teaser;Fire And Ice;1992
Testament;The Evil Has Landed;The Formation Of Damnation;2008
Ryker's;End of the Line;From the Cradle to the Grave;2008
Arnocorps;True Lies;The Greatest Band of All Time;2005
Judas Priest;Evening Star;Hell Bent For Leather;1978
Judas Priest;Evening Star;Hell Bent For Leather [The Remasters];1978
Stratovarius;Neon Light Child;Hunting High & Low;2000
Wolfbrigade;Papercuts;In Darkness You Feel No Regrets;2003
Grip Inc.;Prophecy;Incorporated;2004
Stratovarius;The Curtains Are Falling;Intermission;2001
Iron Maiden;Remember Tomorrow;Iron Maiden;1980
Finntroll;Slaget Vid BlodsÃ¤lv;Jaktens Tid;2001
Helloween;You Always Walk Alone;Keeper Of The Seven Keys Part 2;2006
Metallica;Motorbreath;Kill 'em All;1983
Iron Maiden;Murders In The Rue Morgue;Killers;1981
Crumbsuckers;Interlude;Life of Dreams;1999
Wolfpack;Powerpigs;Lycanthro Punk;1998
Merauder;Mirror Shows Black;Master Killer;1996
Black Sabbath;Embryo;Master of Reality;1971
Dragonforce;No More;Maximum Overload;2014
Mercyful Fate;Into The Coven;Melissa;1983
Mercyful Fate;Doomed By The Living Dead;Mercyful Fate;1982
Piledriver;Sodomize the Dead;Metal Inquisition/Stay Ugly;1998
Judas Priest;Victim Of Changes;Metal Works 1973-1993 [Disc1] [1 of 2] [Remast;-1
