;show_date;Artist;Title;Album;Year
193;Dec 29. 2022;Bob Mould;Voices in My Head;Voices in My Head;2016
194;Dec 29. 2022;Super Furry Animals;Something 4 the Weekend;Zoom! The Best Of (1995-2016);2016
195;Dec 29. 2022;Courtney Barnett;Write a List of Things to Look Forward To;Things Take Time. Take Time;2021
196;Dec 29. 2022;Teenage Fanclub;Everything Is Falling Apart;Everything Is Falling Apart;2019
197;Dec 29. 2022;Swearin';Grow into a Ghost;Fall into the Sun;2018
198;Dec 29. 2022;Shout Out Louds;Shut Your Eyes;Howl Howl Gaff Gaff;2005
199;Dec 29. 2022;Vampire Weekend;Finger Back;Finger Back;2013
200;Dec 29. 2022;Pixies;Monkey Gone To Heaven;Death To The Pixies;1997
201;Dec 29. 2022;My Morning Jacket;Off The Record;Z;2008
202;Dec 29. 2022;Arcade Fire;Sprawl II (Mountains Beyond Mountains);The Suburbs;2010
203;Dec 29. 2022;Dan Auerbach;Street Walkin';Street Walkin';2012
204;Dec 29. 2022;The Apples in stereo;Energy;New Magnetic Wonder;2007
205;Dec 29. 2022;The Dead Weather;I'm Mad;I'm Mad;2010
206;Dec 29. 2022;Built To Spill;Randy Described Eternity;Randy Described Eternity;1997
207;Dec 29. 2022;Silver Jews;Party Barge;Lookout Mountain. Lookout Sea;2008
208;Dec 29. 2022;Yeah Yeah Yeahs;Sacrilege;Mosquito (Deluxe Version);2014
209;Dec 29. 2022;Ty Segall;Fuzzy Cat;Singles 2007-2010;2011
210;Dec 29. 2022;Matt and Kim;Cutdown;Cutdown;2009
211;Dec 25. 2022;Triumphant Quartet;Jesus Is Your Ticket To Heaven;Love Came Calling;2010
212;Dec 25. 2022;Talking Heads;Love----> Building On Fire (Remastered Album Version );The Best Of Talking Heads;2004
213;Dec 25. 2022;Sebadoh;Social Medicine (Remastered);Bakesale [Deluxe Edition];2011
214;Dec 25. 2022;The Walkmen;We've Been Had;The Walkmen;2009
215;Dec 25. 2022;The Clean;Oddity;Anthology;2003
216;Dec 25. 2022;Thao & The Get Down Stay Down;Nobody Dies;A Man Alive;2016
217;Dec 25. 2022;Husker Du;Sorry Somehow;Sorry Somehow;2008
218;Dec 25. 2022;Ultra Orange & Emmanuelle;Don't Kiss Me Goodbye;Ultra Orange & Emmanuelle;2007
219;Dec 25. 2022;Parquet Courts;Freebird II;Freebird II;2018
220;Dec 25. 2022;Sonic Youth;I'm Not There;I'm Not There (Music From The Motion Picture);2007
221;Dec 25. 2022;TEEN;Better;Better;2012
222;Dec 25. 2022;Strapping Fieldhands;The Author In Her Ear;Wattle & Daub;1996
223;Dec 25. 2022;Daniel Johnston;Mean Girls Give Pleasure;Space Ducks: Soundtrack;2012
224;Dec 25. 2022;Bob Mould;Voices in My Head;Voices in My Head;2016
225;Dec 25. 2022;Super Furry Animals;Something 4 the Weekend;Zoom! The Best Of (1995-2016);2016
226;Dec 25. 2022;Courtney Barnett;Write a List of Things to Look Forward To;Things Take Time. Take Time;2021
227;Dec 25. 2022;Teenage Fanclub;Everything Is Falling Apart;Endless Arcade;2021
